SÕNA,NÄIDE,SARNASED,TASE
hommikuti,Tunnen end hommikuti roidununa,"varahommik, loomulikult, kommunikatsioon, minut, miski",B2
hooaeg,Kurke korjati hooajal peenralt iga päev,"hoog, hoone, hoogne, hoolas, hoolekogu",A2
hoogsalt,"Astus, sammus hoogsalt linna poole","osalt, soodsalt, hoolikalt, hool, hooletu",B2
hooldama,"Voodihaigeid tuleb hästi hooldada, et ei tekiks lamatisi","pooldama, hoolima, hoomama, voolama, hooplema",B2
hoolekanne,Psüühilise erivajadusega inimeste hoolekanne Eestis,"ülekanne, otseülekanne, soolane, tolerantne, hoolikas",C1
hoolitsema,Hoolitseb kui oma lapse eest,"hooplema, hoolitsus, koolitama, lehitsema, nokitsema",A2
hoop,Pähe saadud hoop andis veel aastaid hiljem tunda,"hoopis, hoov, hooplema, ooper, horoskoop",B2
hoov,"Pime, tolmune, porine, prügitatud hoov","loov, soov, hoovihm, joove, proov",B2
hord,Turistide hordid ummistasid vanalinna,"kord, orden, vahekord, ühekordne, huumor",C1
hotell,Sain hotellis toa teisele korrusele,"trell, modell, novell, sahtel, teller",A2
hukka,"Tormis, õnnetuses sai mitu laeva, inimest, looma hukka","hukkama, hukkuma, hulka, hulk, hulkuma",B2
hukkuma,Näitleja hukkus traagiliselt filmivõtetel,"hulkuma, kukkuma, tukkuma, hukutama, uskuma",B1
hukutama,"Uhkus hukutab, kangus kaotab","kukutama, lukustama, uhkustama, hulkuma, ujutama",B2
huligaan,Huligaanid tülitasid tänaval rahulikke kodanikke,"hülgama, muigama, vulkaan, õhuline, humaanne",B2
hulk,Ärplejate ümber oli kogunenud uudishimulike hulk,"hulka, hull, huul, pulk, uluk",A2
hulka,Läks külalaste hulka mängima,"hulkuma, hull, hulluma, huul, kulukas",A2
hulkuma,"Hulgub päevad läbi, päevade kaupa jõe ääres","hulluma, kuluma, uskuma, õhkuma, hullumaja",B2
hulluma,Püssipaukudest hullunud hobused,"hullumaja, hullus, kuluma, rahulduma, hõljuma",C1
hundinui,Järvesopp oli hundinuie täis kasvanud,"nunnu, unine, kuninglik, hunnik, senini",B2
hunnik,see maksab hunniku raha,"kohtunik, kunstnik, kuniks, kuninglik, nõunik",B2
hunt,Pimedusest kostis huntide ulgumist,"punt, krunt, kunst, ohutu, punkt",A2
huvi,Kaotasin selle seikleja vastu igasuguse huvi,"suvi, tuvi, huvitav, õhuvägi, huvikool",A1
huviharidus,Huvihariduse andmine kuulub ka noorsootöö valdkonda,"põhiharidus, ähvardus, kutseharidus, vaidlus, huviväärsus",B2
huvitama,"Last huvitab kõik, mis toimub tema ümber","huvituma, hävitama, hüvitama, suvitama, uitama",A2
huvituma,"Huvitusin, mis poisist on saanud","hävitama, hüvitama, suvitama, hävima, istuma",B2
hõbedane,Hõbedane teenetemärk,"lähedane, hõbemedal, hõrenema, häbenema, lähedale",A2
hõiskama,Salkkond lapsi jooksis hõisates õue,"hõivama, lõikama, põikama, viskama, luiskama",C1
hõivama,Terroristid olid hõivanud reisilennuki,"hõlmama, kuivama, lõikama, mõrvama, põikama",B2
hõivatud,Tööline on väga hõivatud,"rõivastus, kahvatu, võimatu, kihlatud, vastu",B2
hõlbustama,Automaadid hõlbustavad inimese tööd,"lõbustama, ühtlustama, jõustama, nõustama, ohustama",B2
hõljuma,Tuul pani pitskardina kergelt hõljuma,"mõjuma, võluma, hõlmama, hõõruma, kihluma",B2
hõõruma,Kass hõõrub end vastu perenaise sääri,"põruma, võõrutama, kõrguma, kõõluma, põrkuma",B2
häda,Küll nägi ema temaga häda ja vaeva,"mäda, hädaabi, hädasti, hämar, härra",A2
hädapärane,Pooleliolev maja jäi üksnes hädapäraseks peavarjuks,"rahvapärane, käepärane, omapärane, säärane, salapärane",B2
häll,"Inimkonna, tsivilisatsiooni, rahvuskultuuri, filmikunsti häll","hääl, hälve, jälle, häälik, jälile",B2
hämmastama,"Teda hämmastas, et linn oli nende aastatega nii vähe muutunud","hämmastav, lämmatama, hämmastavalt, omastama, kehastama",B2
hämmastavalt,Ta naeris hämmastavalt valjusti,"vastavalt, märgatavalt, lämmatama, mõistvalt, kohutavalt",B2
hästi,"Magan, kuulen, näen hästi","rästik, hüvasti, käsi, käsitsi, läti",A1
hävinema,Vana ühiskond hävineb paratamatult,"ühinema, hävitama, põhinema, pärinema, täienema",B2
hävitama,Enne surma hävitas ta oma kirjad,"hüvitama, käivitama, lehvitama, päevitama, näitama",B1
hääl,Ettepanek sai kolmkümmend häält poolt ja kuus vastu,"häälik, hääldus, hääldama, häälekas, hääletus",A1
hääletama,"Et kokkuleppele ei jõutud, tuli hääletada","mäletama, mälestama, leotama, oletama, vältama",B1
hääletus,Mu ümber valitses öine hääletus,"hääleõigus, rahvahääletus, mälestus, oletus, hääleõiguslik",B1
hüljes,Puristab kui hüljes,"küljes, üles, küljest, süles, üle",B2
hüpe,Ta on põhjalikult selleks hüppeks,"hüve, hüüe, hüpoteek, hüpotees, hüppenöör",B2
hüppama,Hüppasin ühel jalal,"lappama, lippama, näppama, pumpama, rüüpama",A2
hüve,Ta nautis kõiki linnaelu hüvesid,"hüüe, ohver, kahvel, kohver, kühvel",B2
hüüatama,Ta hüüatas ja lõi käsi kokku,"süütama, tüütama, juhatama, rüüstama, üllatama",B2
ida,Asjatundja Ida kultuuride alal,"rida, ideaal, idu, iga, iha",A2
idee,Õde andis mulle idee värvida mööbel valgeks,"side, identne, orhidee, iidne, köide",A1
identifitseerima,"Kurjategija identifitseeriti sõrmejälgede põhjal, järgi","ratifitseerima, litsentseerima, moderniseerima, kritiseerima, orienteerima",B2
ideoloogia,Eesti rahvaluule väljendab pärisorise talurahva ideoloogiat,"teoloogia, ideoloogiline, tehnoloogia, sotsioloogia, infotehnoloogia",B2
igatahes,Tema igatahes tuleb,"mistahes, igatsus, tahe, igatsema, igavesti",B2
igati,"See on igati tore, et sa meile külla tuled","igavesti, igavik, igatsus, igav, kõigiti",B1
igatsema,Tüdruk igatseb kallima järele,"õitsema, igavlema, ilutsema, maitsema, suitsema",B1
igavene,Taevakehad on igaveses liikumises,"vigane, igaveseks, õigeaegne, vene, inglane",B2
igavesti,See maja jääb küll igavesti püsima,"õigesti, igavik, igavus, salvestis, kõigest",B2
igavlema,Müüja igavleb tühja leti taga,"ringlema, vaevlema, ilma, ilmnema, kaklema",B2
igavus,Suurest igavusest hakkasime kaarte mängima,"mugavus, sigadus, sügavus, õigus, vigastus",B2
ige,"Naerab, nii et igemed paljad, paistavad","ilge, tige, õige, ingel, kõige",B2
ikka,Ikka ja jälle tuldi vana teema juurde tagasi,"ikkagi, pikk, tikk, rikkuma, tikkima",A1
ikoon,Klõpsa ikoonil parema hiireklahviga,"koon, kroon, mikrofon, kolonn, koolon",B2
illusioon,Tegelik elu purustas nooruki illusioonid,"illustratsioon, visioon, missioon, inflatsioon, intuitsioon",B2
ilma,Siit saab kogu kauba ilma kätte,"ilmuma, siluma, ilme, ilmalik, ilmekas",A1
ilmakaar,Tornist avaneb vaade igasse ilmakaarde,"maakaart, ilmalik, ilmekas, kaar, maavara",B1
ilme,Maakoha ilme on muutunud täielikult,"ilmne, ime, kile, lame, olme",B2
ilmselt,Nad pole ilmselt puutööd teinud,"vaimselt, nimelt, imeliselt, näiliselt, omaselt",B1
ilmtingimata,See raamat peab ilmtingimata ilmuma,"tingimata, tingima, minimaalne, mainima, mängima",B2
ilmuma,Võistlejad ilmuvad starti,"ilmutama, imbuma, siluma, kihluma, külmuma",B1
ilu,Ilu ei panda patta,"ilus, kilu, viltu, ilusti, isu",B1
ilusasti,Need maalid on ilusasti maalitud,"ilusti, valusasti, iseasi, jõudsasti, kindlasti",B1
ilutsema,Puude otsas ilutsesid punapõsksed õunad,"lõbutsema, pidutsema, õitsema, silmitsema, võidutsema",B2
iluvõimlemine,"Iluvõimlemisel kasutatakse hüpitsat, rõngast ja palli","võimlemine, võimeline, laulmine, lugemine, võimlema",B2
ime,Sündis ime: lootusetult haige sai järsku terveks,"pime, me, imema, nimel, toime",B1
imekombel,Imekombel saadi ülesandega hakkama,"kombel, mitmekordselt, kobe, meel, moel",B2
imeliselt,Südamel hakkas imeliselt kerge,"näiliselt, selliselt, tõeliselt, põhimõtteliselt, põhiliselt",B2
imema,Taime juured imevad mullast niiskust,"imetama, imenduma, imestama, imetlema, nimetama",B1
imenduma,Mürk imendub haava kaudu kiiremini kui läbi naha,"meenuma, võimendama, kiinduma, maanduma, moonduma",B2
imetaja,Nüüdisaegsetest imetajatest on suurimad vaal ja elevant,"toimetaja, imetama, maletaja, nimetama, jumestaja",B2
imetama,Vastsündinut imetatakse 6 korda päevas,"nimetama, pimestama, toimetama, imetlema, minetama",B2
immigrant,"Ameerika, Euroopa immigrandid","immigratsioon, piirang, siiralt, timmima, liiga",B2
immigratsioon,Elanikkond kasvab immigratsiooni teel,"inspiratsioon, integratsioon, vibratsioon, improvisatsioon, kommunikatsioon",B2
impeerium,Põhjasõja tulemusena läks Eesti ala Vene impeeriumi koosseisu,"meedium, kriteerium, müsteerium, optimeerima, improviseerima",B2
improvisatsioon,Näitleja on võimeline spontaanseteks improvisatsioonideks,"provokatsioon, innovatsioon, tsivilisatsioon, inspiratsioon, missioon",B2
improviseerima,Kõne pidi ta improviseerima kohapeal,"provotseerima, poseerima, praktiseerima, produtseerima, protesteerima",B2
indeks,"Valemis H2O näitab indeks, et molekulis on kaks vesinikuaatomit","mainekas, postiindeks, isekas, kindel, liides",B2
infarkt,Tal oli infarkt,"infrastruktuur, uinak, spinat, instruktor, ninasarvik",B2
infektsioon,"Infektsiooni levik, vältimine","inspektsioon, inflatsioon, sektsioon, reaktsioon, sanktsioon",B2
informeeritus,Osakonna hea informeeritus uuendustest,"noomitus, noormees, nimetus, ärritus, kingitus",B2
ingliskeelne,Kõik raamatud on ingliskeelsed ja sobivad kasutamiseks inglise keele tundides,"kindlameelne, lihtsameelne, pingeline, kakskeelne, sinisilmne",A2
inimkond,See oli kuritegu kogu inimkonna vastu,"inimolend, piirkond, ringkond, toimkond, inimlik",B2
inimlik,Inimlikust seisukohast arusaadavad soovid,"inimlikkus, nimi, isiklik, piinlik, riiklik",B1
inspireerima,Loodus on kunstnikku alati inspireerinud,"integreerima, investeerima, isoleerima, närveerima, opereerima",B2
instinkt,"Looma tegutsemist, käitumist määravad instinktid","nastik, pistik, instituut, instruktor, instrument",B2
instituut,See härra on instituudi direktor,"statuut, prostituut, titt, konstitutsioon, istutama",B1
intellektuaalne,Kellegi intellektuaalsed võimed,"intelligentne, kontseptuaalne, telekanal, naturaalne, seksuaalne",B2
intensiivsus,"Tähelepanu, töö intensiivsus","positiivsus, mitmekesisus, iseseisvus, intress, isiksus",B2
interaktiivne,Järjest rohkem kasutatakse õpetamisel interaktiivseid mänge,"negatiivne, intuitiivne, operatiivne, konservatiivne, konstruktiivne",B2
internetipank,Internetipanga paroolid ja koodid,"internetiühendus, teoreetik, intervjueerima, tähelepanek, investeerima",B1
intervall,"Intervalle mõõdetakse toonides, tsentides või võnkesageduste suhtena","trall, mineraal, teravalt, orienteeruvalt, intervjuu",B2
intriig,"Sattusin, mind tõmmati teiste intriigidesse, intriigide võrku","lindprii, niigi, triip, investeering, printsiip",B2
intsident,Ebameeldiv intsident ülemusega,"patsient, koefitsient, president, residents, kinnisidee",B2
intuitsioon,"Ta intuitsioon ütles, et midagi oli valesti","situatsioon, orientatsioon, ventilatsioon, traditsioon, konstitutsioon",B2
investeerima,Jaapani kontsern kavatses investeerida suured summad uue tekstiilikombinaadi ehitamiseks,"investeering, noteerima, ministeerium, orienteerima, isoleerima",B2
irvitama,Kellelegi näkku irvitama,"käivitama, tarvitama, tervitama, viivitama, sirvima",C1
isa,Selle raha sai ta minu isa käest,"kisa, lisa, visa, sa, isand",A1
ise,"See haigus ei parane ise, vaid vajab korralikku ravi","vise, isegi, sisse, iseasi, isekas",A1
iseenesest,Töö iseenesest polnud eriti keeruline,"see-eest, iseenesestmõistetav, iseseisvalt, seest, sisseost",B1
iseloom,Iseloomu kasvatama,"iseloomulik, iseloomustus, loom, iseloomustama, isemoodi",A2
iseloomustama,Ta iseloomustas õpetaja käitumist väga tabavalt,"iseloomustus, soodustama, soojustama, seostama, loovutama",B1
isemoodi,Ta rääkis isemoodi kähiseva häälega,"mismoodi, teistmoodi, moodi, niimoodi, samamoodi",B2
isiklik,Oma isiklikus arhiivis hoiab ta ka kõiki saadud kirju,"riiklik, isiklikult, kiriklik, piklik, usklik",A2
isiklikult,Talupojad kuulutati isiklikult vabaks,"oskuslikult, ühiskondlikult, tervislikult, üksikasjalikult, riiklik",B1
isiksus,Kodus kujuneb välja lapse isiksus,"kitsikus, laiskus, liiklus, niiskus, riiklus",B1
istuma,Ta istus alati öösiti üleval,"istutama, pistma, kibestuma, linastuma, rikastuma",A1
istung,Istungist võttis osa mitusada saadikut,"sissetung, tung, kviitung, isu, sisetunne",B2
istutama,Istutas kogu peenra roose täis,"uisutama, kustutama, niisutama, paisutama, risustama",B2
itsitama,Naeru itsitama,"tsitaat, viitama, suitsetama, käsitama, omistama",C1
iva,Proovis hambaga iva küpsust,"rivaal, rõivas, teivas, vai, kuivama",B2
jagama,Teise inimesega oma mõtteid jagama,"jaguma, magama, tagama, jama, jaksama",A2
jah,Eks ta ole õigus jah,"jahe, jahu, jahuma, oja, jahtima",A1
jahe,"Lähme tuppa, õues hakkab jahe","jahu, juhe, lahe, mahe, pahe",A2
jahimees,Ta on kirglik jahimees,"kojamees, jahtima, mees, väimees, ärimees",B1
jahtima,Kass jahtis hiiri,"jahtuma, juhtima, vahtima, jahutama, jahuma",B2
jahutama,"Miski ei suutnud mu vaimustust, ägedust, indu jahutada","jalutama, lahutama, mahutama, jahvatama, lahustama",B2
jahvatama,Jahvatab vahetpidamata süüa,"lahvatama, plahvatama, juhatama, kasvatama, lavastama",B2
jaksama,Väsinud käed jaksavad vaevu labidat hoida,"kisama, maksma, kajastama, takistama, jama",B1
jalakäija,Jalakäija astus auto eest kõrvale,"salaja, valija, laadija, lakkima, tõlkija",B1
jalg,Vokil on kolm jalga,"jalgsi, jälg, jalgpall, julge, jumal",A1
jalgpall,Jalgpall on populaarne mäng,"sulgpall, pall, jumalaga, lihapall, jalgratas",A1
jalutama,"Mees ja naine jalutavad tänavail, mööda linna, ümber linnamüüri","valutama, kallutama, vallutama, jaotama, ujutama",A2
jama,Ära aja jama,"jamama, kajama, ohjama, rajama, vajama",B2
janu,"Olime näljast ja janust kurnatud, nõrkemas","ju, kanuu, majandus, panus, vanur",B1
jaoskond,Tsehh jagunes kolmeks jaoskonnaks,"osakond, joonde, kuulajaskond, valimisjaoskond, jood",B1
jooks,Nööpis kuue jooksu peal kinni,"jooksev, jooksma, jooksul, oks, joonis",B1
jooksma,"Keerasin kraani jooksma, kraanist vee jooksma","jooma, jooksutama, jootma, jooksul, loksuma",A1
jooksutama,Milleks inimesi niiviisi edasi-tagasi jooksutada,"loksutama, osutama, joonistama, kasutama, koostama",B2
joon,Liikuva punkti jälge nimetatakse jooneks,"joonde, joonis, rajoon, koon, toon",A2
joonde,Elu hakkab joonde minema,"joove, loode, toode, joonlaud, jooneline",C1
joonistama,Kirjanik on joonistanud realistlikke pilte tänapäeva ühiskonnast,"toonitama, joonistamine, ponnistama, koostama, omistama",A2
jootma,Sa joodad mu ju õllega päris purju,"lootma, ootama, tootma, jätma, kooma",B2
ju,Ta on ju alati veidi naljakas olnud,"juba, jube, judo, juga, juhe",A1
juba,Olime siis juba heas tujus,"uba, jube, juga, luba, tuba",A1
juhatama,Naine juhatas meile kõige otsema tee raudteejaama,"puhastama, juhtima, juhtuma, ujutama, ulatama",A2
juhatus,Oleksin maja leidnud ka suulise juhatuse järgi,"juhus, puhastus, juhtum, jutlus, puhtus",A2
juhiluba,Politsei peatas auto ja soovis näha juhiluba,"juhinduma, juhtima, juhtuma, luba, jututuba",A2
juhis,Selle kohta pole kindlat juhist olemas,"juhus, juhtiv, jurist, uhiuus, juhitavus",B2
juhtima,Mees juhtis tsehhis masinate tööd,"juhtuma, juhtiv, juhtum, uhtuma, ühtima",A2
juhtuma,"Ära muretse, kui juhtun tulekuga hilja peale jääma","uhtuma, luhtuma, suhtuma, jõustuma, majutuma",A2
juhus,Juhus viis nad jälle kokku,"juust, uhkus, juhuslik, uus, julgus",B1
julgelt,"Vaatas talle julgelt otsa, näkku, silma","julgesti, julgeolek, jõuliselt, julgema, julmalt",B1
julgeolek,Tuleb kanda hoolt julgeoleku eest,"üleolek, juuresolek, julgeolekupoliitika, kaugele, üleolev",B2
julgustama,Püüdis ennast pimedas metsas lauluga julgustada,"jutlustama, julgustav, jutustama, valgustama, jõustama",B2
julmalt,Vabadusvõitlejatega õiendati julmalt arveid,"jumal, jumalik, ülimalt, jumalaga, jõudsalt",B2
jumalateenistus,"Katoliiklik, luterlik jumalateenistus","teenistus, jumestus, unistus, kutsetunnistus, jutustus",B1
jumaldama,Ma pole teda kunagi eriti jumaldanud,"usaldama, valdama, kummardama, võimaldama, maandama",B2
jume,Su nägu on haiglase jumega,"jäme, sume, tume, ulme, ujumine",B2
jumestus,Mõned näitlejad teevad oma jumestuse alati ise,"tuimestus, jutustus, mälestus, ummistus, jutlus",B2
just,"Just nii, nõnda, niiviisi, niisama, samuti","juust, jutt, juut, kust, lust",A1
justkui,Ta õppis justkui ainult kohusetundest,"justnagu, jutustus, juuli, juuni, juust",B1
jutlus,Õpetaja peab kantslist jutlust,"kujutlus, jutukas, jõudlus, majutus, mõjutus",C1
jutlustama,Kirikuõpetaja jutlustab kantslist,"jutustama, tutvustama, ühtlustama, jõustama, kulutama",B2
jutt,Poisid lugesid indiaanlaste jutte,"juut, kutt, lutt, mutt, nutt",A1
jutustama,"Jutustab oma tähelepanekutest, elujuhtumustest","tutvustama, jõustama, unustama, juurutama, kustutama",A2
juubel,Valmistutakse kooli 75 aasta juubeliks,"juuli, juubilar, juurde, juures, juukselakk",A2
juukselakk,Tugev juukselakk kauapüsivaks soenguks,"juuksur, muuseas, slovakk, kelk, juurikas",B1
juunior,Juunioride ja noorte meistrivõistlused,"juur, juurde, juures, suunis, uni",B2
juur,Puu juurte all oli rebase urg,"juurde, juures, juut, suur, juurest",B2
juurde,"Ta tuli lähemale, kuid päris juurde ei tulnud","juures, juurdlema, juurest, juurdekasv, juurdepääs",A1
juurdlema,Juurdlesin sõbra kummalise käitumise üle,"juurduma, suudlema, juurdlus, riidlema, võrdlema",C1
juurduma,Pani istikud klaasi alla juurduma,"juurutama, murduma, puuduma, suunduma, jõudma",C1
juures,"Palun püsi alati õpetaja juures, siis sa ei kao ära","juurest, kusjuures, seejuures, juuresolek, sealjuures",A1
juurikas,Maikellukest paljundatakse juurikast,"jääpurikas, rikas, jõukas, uurija, uurima",B2
juust,Mulle meeldib kõige rohkem šveitsi juust,"juut, uus, jõukus, uuesti, kodujuust",A1
jõgi,Kukkus sillalt jõkke,"järgi, või, õis, õlg, õli",A1
jõud,Jõud on massi ja kiirenduse korrutis,"jõudma, jõulud, jõuk, jõul, põud",A2
jõudma,"Jõuab saladust pidada, keelt hammaste taga hoida","nõudma, sõudma, jõudumööda, ujuma, jõudsalt",A2
jõudsalt,"Aeg, elu on jõudsalt edasi läinud","jõudsasti, jõusaal, õudselt, lõbusalt, mõnusalt",C1
jõuline,Ujub jõuliste tõmmetega,"õhuline, põline, tuline, jõuliselt, tahtejõuline",B2
jõusaal,"Veloergomeeter, treeningupink, hantlid ja teised vahendid jõusaalis treenimiseks","jõustama, saal, jõustuma, lõbusalt, mõnusalt",B1
jäine,Palja jala all tundus kivipõrand jäisena,"jänes, järgmine, jälile, järgne, mägine",B2
jälg,Jäljed olid juba umbe tuisanud,"jälk, järg, nälg, jälgima, jällegi",B1
jälgima,"Õpetaja jälgib, kuidas õpilased liiklusreegleid tunnevad","järgima, nälgima, jälitama, jällegi, mängima",B1
jälile,"Kui karule jõuti jälile, oli see ise juba kaugel","jälle, jällegi, järele, väline, järelikult",C1
jälle,Selles talus ehitatakse jälle midagi uut,"jällegi, järele, jäme, järelvalve, jäse",A1
jänes,Kontrolör tabas trammis jänese,"jännis, järgne, jäänus, järjest, jäse",A2
järel,"Poiss hüppas ees, tüdruk järel, teised tulid veel hiljem","järele, järelt, järeldus, järeltöö, misjärel",A2
järeldama,Mida saame meile teada olevate andmete põhjal järeldada,"järelduma, järelmaks, ohjeldama, täheldama, järjestama",B2
järeldus,"Loogiline, loomulik järeldus millestki","järele, järelt, ärevus, järelkasv, järelmaks",B1
järele,Isa viis linnas õppivale pojale toidumoona järele,"järelt, ärevile, ärkvele, järelvalve, väele",A1
järelevalve,Kahtlustatu jäeti politsei järelevalve alla,"järelvalve, järgnevalt, järjepidevalt, meelevaldne, valve",B1
järelikult,"Minu esivanemad aga olid eesti talupojad, järelikult olen mina ka eestlane","täielikult, järelt, järsult, kirglikult, rahulikult",B1
järg,Hakkas raamatust järge otsima,"järgi, järgne, järk, järv, jäär",B2
järgmine,Lähen järgmises peatuses maha,"järgne, ülejärgmine, äärmine, järgnema, mägine",A1
järgne,Esitasime taotluse Euroopa Liidu direktiivi järgse tunnustuse saamiseks,"järgnema, järgnevalt, ürgne, õigusjärgne, ülejärgmine",B2
järgnema,Koer järgneb peremehele igale poole,"ägenema, järgnevalt, pärinema, nägema, kõrgenema",B1
järgnevalt,Järgnevalt käsitletakse marjapõõsaste istutamist,"järjepidevalt, karneval, märgatavalt, säravalt, tugevalt",B2
järjekord,Piletikassa ees oli pikk järjekord,"järjekordne, järjekordselt, rekord, projektor, päevakord",A2
järjekordne,Jaanuaris toimub järjekordne rahvaloendus,"järjekordselt, rekord, seekordne, ühekordne, järjestikune",B1
järsku,Järsku sa loeksid kõigepealt ise selle raamatu läbi,"järsult, värskus, jätkuv, märkus, raskus",B1
järsult,Kevad tuli varakult ja järsult,"jääsalat, päriselt, värskelt, ääretult, jätkuvalt",B2
järv,Sellest järvest püütakse peamiselt ahvenat ja särge,"jäär, närv, värv, ärev, särav",A1
jässakas,Kuusk on jässakaks kasvanud,"prussakas, särtsakas, kajakas, läpakas, majakas",C1
jätkama,Ravi tuleb veel kaua jätkata,"jätkuma, jätma, ärkama, kama, jäätuma",A2
jätkusuutlik,Eesti maakinode võrgustik pole praegusel kujul jätkusuutlik,"jätkusuutlikkus, kunstlik, tuulik, suutlikkus, väärtuslik",B2
jätkuvalt,Huvi rahvakunsti vastu on jätkuvalt kasvanud,"lähtuvalt, kurvalt, sujuvalt, tugevalt, jäädavalt",B1
jätma,"Jätame tordi terveks, lahti lõikamata","jäätuma, jääma, täitma, väitma, jäätmed",A2
jääma,Kõik jääb endiseks,"jäätuma, räämas, jäär, jäätmed, jäätmejaam",A2
ka,Seda ütleb Ants ka,"kai, kas, kaal, kaar, kaas",A1
kaaluma,Koorem kaalus kolm tonni,"kalduma, kaalutlema, kaduma, kajama, kuluma",A2
kaamel,"Ennem läheb kaamel läbi nõelasilma, kui rikas taevariiki saab","karamell, kael, kaamera, kabel, kanal",B2
kaar,Kumera kaarega ukseava,"kaart, klaar, kaater, kaas, kaer",B2
kaardistama,Kaardistati Antarktise rannajoont,"karistama, karmistama, kadestama, kahekordistama, kajastama",B2
kaas,Purk suleti plastmassist kaanega,"kaasa, klaas, kas, kaasas, kaigas",B1
kaasa,Koer jooksis kõikjale poistega kaasa,"kaasas, kaasabi, kaasaeg, kaasama, kassa",A1
kaasaeg,Luuletaja polnud oma kaasajal kuigi populaarne,"kaasaegne, katseaeg, kaasas, kauaaegne, kaasama",B2
kaasomand,Kaasomandis korter,"komando, omand, kajama, kajastama, kajastuma",B2
kabe,Oma vanuse kohta on ta igati kabe,"kabel, kamber, kade, kael, kaer",B1
kade,Riina sai Malle peale kadedaks,"kaudne, kadu, kael, kaer, kaev",B2
kadedus,Jälgis kadedusega teiste edusamme,"kaebus, kaevandus, kadu, rasedus, sagedus",B2
kadestama,"Mahajääjad kadestasid neid, kes sõitsid lõunasse puhkama","katkestama, kasutama, kastma, kestma, kajastama",B2
kadu,"Materjali loomulik, otsene kadu","kaudu, kaduma, kadunu, kagu, kand",B2
kaduma,"Oskab parajal, õigel ajal kaduda","kalduma, kanduma, kandma, kuduma, laduma",A2
kaebus,Esitan teie peale kaebuse,"katus, kauss, kaust, kahetsus, katsetus",B2
kael,"Mees, kellel on jäme kael","katel, kaenal, kahvel, kaneel, kannel",A2
kaer,Kombainid koristavad kaera,"kaevur, kamber, klaver, kaev, kare",B1
kahandama,Mõisnikud ei kahandanud talupoegade kohustusi,"kamandama, kavandama, kohandama, pahandama, kahanema",B2
kahanema,Lumehanged hakkasid päikese paistel kiiresti kahanema,"kohanema, kahtlane, kahtlema, lahenema, paranema",B2
kahekordistuma,Asula elanike arv kahekordistus mõne aastaga,"karistama, koristama, mitmekordistama, kahekordne, kaheksa",B2
kahekordne,Kütuse hind on tõusnud kahekordseks,"ühekordne, vahekord, kolmekordne, kahene, seekordne",B1
kahetoaline,Mehe töö kaudu said nad kahetoalise korteri alevis,"ühetoaline, kolmetoaline, kahtlane, kehaline, rahaline",B1
kahju,"Tulekahju märgati üsna pea, nii et kahju polnud eriti suur","kahjum, kahjuks, kahjutu, kahur, kajut",A2
kahjustama,Külm kahjustas õunapuid,"kahjustuma, kahtlustama, kajastama, kohustama, lahustama",B1
kahtlema,"Kahtlen, kas see õige on","kahtlemata, kohtlema, kaklema, katkema, katma",B1
kahtlemata,Kahtlemata olen ma valmis sinna peole minema,"kohtlema, ütlemata, katkematu, kaklema, katkema",B2
kahtlus,"Tekib tõsine kahtlus, kas meil jätkub raha","katus, kahtlustus, kahtlustama, kaklus, kaktus",B1
kaitsevägi,Mitmesugustel esemetel arvati olevat maagiline kaitsevägi,"maitsev, katse, katseaeg, kantselei, vaateväli",B1
kaitsma,Karvamüts ei suutnud kaitsta külmetavat nägu,"katsuma, maitsma, katma, kratsima, maitsema",A2
kajut,"Esimese, teise klassi kajut","kalju, kaust, kasutu, kaljukits, kant",B1
kala,Paat oli kalu täis,"kallak, kallal, kallas, kaplan, skaala",A1
kalduma,"Lennuk muudab kurssi, kaldudes põhja poole","kanduma, keelduma, kandma, kuduma, kuluma",B2
kalduvus,Tõeline essee nõuab kalduvust abstraktselt mõelda,"kuuluvus, kaugus, kuivus, palvus, valdus",B2
kalk,"Aga need olid paljad müürid; nende ümber hunnikuis läbisegi kive, kilde, kalki, liiva, lauaotsi ja latitükke","kalkun, kallak, kark, kask, katk",C1
kallama,Klaasid kallati ääreni täis,"kallutama, tallama, kallistama, kallas, kallim",B2
kallutama,Kallutas ülakeha kergelt vasakule,"vallutama, kasutama, kulutama, valutama, kangutama",C1
kamber,Jutuajamine toimus peremehe kambris,"klamber, kumer, paber, ämber, ümber",B2
kana,"Praetud, grillitud kana","kanal, kandma, kangas, kraana, kand",A1
kandidaat,Nobeli preemia kandidaat,"kandidatuur, mandaat, skandaal, kandideerima, kandik",A2
kandideerima,Kandideerib Tallinna 4. valimisringkonnas,"skaneerima, valideerima, kodeerima, likvideerima, planeerima",B1
kandiline,Raekojal on kandiline torn,"küüniline, näiline, äkiline, kaootiline, kliiniline",B1
kandma,"Demonstrandid kandsid lippe, loosungeid","kanduma, kündma, kavandama, kohandama, kohanduma",A2
kanduma,Paat kandus allavoolu,"kohanduma, vanduma, kiinduma, koonduma, maanduma",B2
kang,Uks murti kangiga lahti,"kange, kangas, kant, kaun, king",B2
kangelane,Vabadussõja kangelased,"kaugele, ukrainlane, kimalane, pagulane, sagedane",B1
kannatama,Kannata vähe veel,"kannatamatu, kannatanu, karastama, karjatama, kasvatama",B1
kannatlik,Tal on leebe ja kannatlik mees,"kannatlikkus, kannike, kartlik, kannatus, katoliku",B2
